role,ep,canonical_mp4,canonical_imu,original_mp4,original_imu,size_bytes,mtime_epoch
gripper_cal,1,gripper_cal.mp4,gripper_cal.imu.json,run_20260424T084256Z_ep001_gp00_GX010008.MP4,run_20260424T084256Z_ep001_gp00_GX010008_imu.json,25641743,1777020208.126
mapping,2,mapping.mp4,mapping.imu.json,run_20260424T084256Z_ep002_gp00_GX010009.MP4,run_20260424T084256Z_ep002_gp00_GX010009_imu.json,146429975,1777020394.769
demo_001,3,demo_001.mp4,demo_001.imu.json,run_20260424T084256Z_ep003_gp00_GX010010.MP4,run_20260424T084256Z_ep003_gp00_GX010010_imu.json,29454180,1777020510.135
demo_002,4,demo_002.mp4,demo_002.imu.json,run_20260424T084256Z_ep004_gp00_GX010011.MP4,run_20260424T084256Z_ep004_gp00_GX010011_imu.json,22255848,1777020554.298
demo_003,5,demo_003.mp4,demo_003.imu.json,run_20260424T084256Z_ep005_gp00_GX010012.MP4,run_20260424T084256Z_ep005_gp00_GX010012_imu.json,26415068,1777020592.346
demo_004,6,demo_004.mp4,demo_004.imu.json,run_20260424T084256Z_ep006_gp00_GX010013.MP4,run_20260424T084256Z_ep006_gp00_GX010013_imu.json,14022698,1777020645.533
demo_005,7,demo_005.mp4,demo_005.imu.json,run_20260424T084256Z_ep007_gp00_GX010014.MP4,run_20260424T084256Z_ep007_gp00_GX010014_imu.json,16989381,1777020677.080
demo_006,8,demo_006.mp4,demo_006.imu.json,run_20260424T084256Z_ep008_gp00_GX010015.MP4,run_20260424T084256Z_ep008_gp00_GX010015_imu.json,20648426,1777020715.542
demo_007,9,demo_007.mp4,demo_007.imu.json,run_20260424T084256Z_ep009_gp00_GX010016.MP4,run_20260424T084256Z_ep009_gp00_GX010016_imu.json,13258119,1777020753.283
demo_008,10,demo_008.mp4,demo_008.imu.json,run_20260424T084256Z_ep010_gp00_GX010018.MP4,run_20260424T084256Z_ep010_gp00_GX010018_imu.json,29132174,1777020842.986
demo_009,11,demo_009.mp4,demo_009.imu.json,run_20260424T084256Z_ep011_gp00_GX010019.MP4,run_20260424T084256Z_ep011_gp00_GX010019_imu.json,12623620,1777020888.658
demo_010,12,demo_010.mp4,demo_010.imu.json,run_20260424T084256Z_ep012_gp00_GX010020.MP4,run_20260424T084256Z_ep012_gp00_GX010020_imu.json,22299631,1777020921.755
demo_011,13,demo_011.mp4,demo_011.imu.json,run_20260424T084256Z_ep013_gp00_GX010021.MP4,run_20260424T084256Z_ep013_gp00_GX010021_imu.json,35362046,1777020976.457
demo_012,14,demo_012.mp4,demo_012.imu.json,run_20260424T084256Z_ep014_gp00_GX010022.MP4,run_20260424T084256Z_ep014_gp00_GX010022_imu.json,20726132,1777021017.538
demo_013,15,demo_013.mp4,demo_013.imu.json,run_20260424T084256Z_ep015_gp00_GX010023.MP4,run_20260424T084256Z_ep015_gp00_GX010023_imu.json,12505952,1777021036.383
demo_014,16,demo_014.mp4,demo_014.imu.json,run_20260424T084256Z_ep016_gp00_GX010024.MP4,run_20260424T084256Z_ep016_gp00_GX010024_imu.json,21918992,1777021069.225
demo_015,17,demo_015.mp4,demo_015.imu.json,run_20260424T084256Z_ep017_gp00_GX010025.MP4,run_20260424T084256Z_ep017_gp00_GX010025_imu.json,22599261,1777021108.932
demo_016,18,demo_016.mp4,demo_016.imu.json,run_20260424T084256Z_ep018_gp00_GX010026.MP4,run_20260424T084256Z_ep018_gp00_GX010026_imu.json,21795777,1777021139.349
demo_017,19,demo_017.mp4,demo_017.imu.json,run_20260424T084256Z_ep019_gp00_GX010027.MP4,run_20260424T084256Z_ep019_gp00_GX010027_imu.json,22454373,1777021168.702
demo_018,20,demo_018.mp4,demo_018.imu.json,run_20260424T084256Z_ep020_gp00_GX010028.MP4,run_20260424T084256Z_ep020_gp00_GX010028_imu.json,26897308,1777021205.478
demo_019,21,demo_019.mp4,demo_019.imu.json,run_20260424T084256Z_ep021_gp00_GX010029.MP4,run_20260424T084256Z_ep021_gp00_GX010029_imu.json,40914860,1777021252.406
demo_020,22,demo_020.mp4,demo_020.imu.json,run_20260424T084256Z_ep022_gp00_GX010030.MP4,run_20260424T084256Z_ep022_gp00_GX010030_imu.json,43024705,1777021307.444
demo_021,23,demo_021.mp4,demo_021.imu.json,run_20260424T084256Z_ep023_gp00_GX010031.MP4,run_20260424T084256Z_ep023_gp00_GX010031_imu.json,65388934,1777021367.324
demo_022,24,demo_022.mp4,demo_022.imu.json,run_20260424T084256Z_ep024_gp00_GX010032.MP4,run_20260424T084256Z_ep024_gp00_GX010032_imu.json,35741527,1777021401.057
demo_023,25,demo_023.mp4,demo_023.imu.json,run_20260424T084256Z_ep025_gp00_GX010033.MP4,run_20260424T084256Z_ep025_gp00_GX010033_imu.json,12425046,1777021504.166
demo_024,26,demo_024.mp4,demo_024.imu.json,run_20260424T084256Z_ep026_gp00_GX010034.MP4,run_20260424T084256Z_ep026_gp00_GX010034_imu.json,13480835,1777021582.735
demo_025,27,demo_025.mp4,demo_025.imu.json,run_20260424T084256Z_ep027_gp00_GX010035.MP4,run_20260424T084256Z_ep027_gp00_GX010035_imu.json,12471536,1777021604.075
demo_026,28,demo_026.mp4,demo_026.imu.json,run_20260424T084256Z_ep028_gp00_GX010036.MP4,run_20260424T084256Z_ep028_gp00_GX010036_imu.json,10649711,1777021626.084
demo_027,29,demo_027.mp4,demo_027.imu.json,run_20260424T084256Z_ep029_gp00_GX010037.MP4,run_20260424T084256Z_ep029_gp00_GX010037_imu.json,10843171,1777021651.935
